,,Compound Return 2018 (%),Arithmetic Return 2018 (%),Annualized Volatility (%),Compound Return 2017 (%),Japan Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alts,Event Driven Hedge Funds,0.0325,0.0438,0.155,0.0375,0.15,-0.16,-0.43,-0.42,0.85,-0.41,0.91,0.37,0.93,0.47,0.68,-0.16,0.75,-0.48,0.77,-0.45,0.84,-0.36,0.85,-0.33,0.85,0.07,0.7,0.91,0.19,0.77,0.68,0.87,0.81,0.82,0.78,0.73,0.86,0.85,0.85,0.85,0.72,0.72,0.63,0.57,0.71,0.85,0.76,0.75,0.56,0.63,0.85,0.83,0.98,0.64,1,Event Driven Hedge Funds hedged,,,,,,,,,
Alts,Event Driven Hedge Funds hedged,0.03,0.0339,0.09,0.035,0.15,-0.12,-0.29,-0.07,0.22,-0.12,0.67,0.76,0.39,0.57,0.47,-0.1,0.34,-0.4,0.36,-0.39,0.41,-0.16,0.42,-0.13,0.51,0.46,0.61,0.54,0.58,0.65,0.58,0.71,0.71,0.8,0.79,0.76,0.78,0.78,0.79,0.79,0.76,0.79,0.56,0.87,0.65,0.24,0.19,0.53,0.56,0.68,0.24,0.31,0.53,0.88,0.65,1,Long Bias Hedge Funds,,,,,,,,
Alts,Long Bias Hedge Funds,0.0325,0.0445,0.16,0.035,0.15,-0.16,-0.42,-0.36,0.8,-0.37,0.91,0.44,0.89,0.5,0.72,-0.16,0.76,-0.48,0.78,-0.45,0.84,-0.34,0.85,-0.31,0.86,0.16,0.76,0.9,0.27,0.81,0.71,0.91,0.86,0.87,0.85,0.8,0.92,0.91,0.92,0.91,0.81,0.82,0.67,0.67,0.76,0.79,0.71,0.78,0.61,0.68,0.8,0.78,0.95,0.7,0.98,0.7,1,Long Bias Hedge Funds hedged,,,,,,,
Alts,Long Bias Hedge Funds hedged,0.03,0.0353,0.105,0.0325,0.12,-0.11,-0.27,-0.01,0.2,-0.08,0.64,0.75,0.35,0.56,0.52,-0.1,0.38,-0.37,0.4,-0.37,0.44,-0.13,0.45,-0.11,0.51,0.52,0.67,0.53,0.62,0.68,0.61,0.75,0.74,0.82,0.83,0.81,0.82,0.82,0.84,0.84,0.84,0.88,0.59,0.92,0.68,0.21,0.17,0.57,0.59,0.69,0.23,0.27,0.5,0.87,0.59,0.94,0.71,1,Relative Value Hedge Funds,,,,,,
Alts,Relative Value Hedge Funds,0.03,0.04,0.145,0.0325,0.12,-0.13,-0.41,-0.41,0.91,-0.38,0.9,0.31,0.96,0.46,0.66,-0.13,0.76,-0.43,0.78,-0.4,0.86,-0.33,0.87,-0.3,0.87,0.03,0.67,0.92,0.14,0.73,0.64,0.81,0.74,0.76,0.71,0.66,0.79,0.79,0.79,0.78,0.66,0.66,0.6,0.48,0.65,0.88,0.78,0.71,0.5,0.57,0.89,0.89,0.98,0.56,0.98,0.53,0.95,0.48,1,Relative Value Hedge Funds hedged,,,,,
Alts,Relative Value Hedge Funds hedged,0.0275,0.0299,0.07,0.03,0.07,-0.02,-0.26,0.02,0.24,0,0.7,0.83,0.4,0.66,0.42,-0.02,0.31,-0.33,0.33,-0.32,0.4,-0.05,0.41,-0.02,0.54,0.55,0.61,0.55,0.64,0.61,0.54,0.61,0.59,0.74,0.71,0.68,0.69,0.69,0.71,0.71,0.73,0.76,0.55,0.84,0.57,0.19,0.12,0.44,0.49,0.62,0.23,0.39,0.51,0.85,0.6,0.92,0.65,0.86,0.54,1,Macro Hedge Funds,,,,
Alts,Macro Hedge Funds,0.0225,0.0312,0.135,0.03,0.07,-0.07,-0.32,-0.36,0.88,-0.34,0.74,0.1,0.88,0.27,0.63,-0.07,0.78,-0.3,0.79,-0.27,0.83,-0.27,0.84,-0.25,0.77,-0.08,0.6,0.81,-0.01,0.63,0.55,0.7,0.62,0.64,0.61,0.56,0.69,0.68,0.68,0.67,0.56,0.56,0.55,0.35,0.56,0.86,0.78,0.66,0.42,0.46,0.86,0.83,0.94,0.54,0.88,0.37,0.86,0.37,0.9,0.35,1,Macro Hedge Funds hedged,,,
Alts,Macro Hedge Funds hedged,0.02,0.0227,0.075,0.0275,-0.08,0.15,0.1,0.27,-0.09,0.19,-0.01,0.15,-0.12,0.03,0.13,0.18,0.09,0.15,0.08,0.13,0.06,0.19,0.05,0.19,0.01,0.22,0.17,-0.02,0.2,0.11,0.1,0.08,0.03,0.19,0.2,0.19,0.15,0.15,0.17,0.17,0.23,0.26,0.2,0.31,0.12,-0.13,-0.12,0.07,0.07,0.13,-0.11,-0.03,0.08,0.55,0.02,0.3,0.11,0.37,-0.02,0.29,0.29,1,Commodities,,
Alts,Commodities,0.0225,0.0382,0.1825,0.0275,0.06,-0.07,-0.27,-0.12,0.41,-0.22,0.6,0.41,0.5,0.32,0.6,-0.25,0.53,-0.44,0.55,-0.43,0.57,-0.3,0.58,-0.28,0.55,0.22,0.62,0.58,0.31,0.5,0.41,0.61,0.56,0.7,0.65,0.59,0.66,0.66,0.67,0.67,0.62,0.68,0.37,0.53,0.54,0.45,0.41,0.68,0.37,0.5,0.49,0.42,0.61,0.62,0.65,0.63,0.69,0.66,0.6,0.6,0.57,0.29,1,Commodities hedged,
Alts,Commodities hedged,0.02,0.0329,0.165,0.025,0,-0.01,-0.07,0.17,-0.11,0.05,0.21,0.46,-0.02,0.23,0.31,-0.18,0.14,-0.25,0.15,-0.26,0.14,-0.08,0.14,-0.08,0.14,0.38,0.37,0.14,0.43,0.2,0.15,0.27,0.26,0.44,0.4,0.37,0.35,0.36,0.38,0.38,0.41,0.49,0.14,0.47,0.29,-0.06,-0.05,0.37,0.18,0.32,-0.01,-0.05,0.12,0.51,0.18,0.56,0.27,0.61,0.11,0.54,0.09,0.4,0.84,1,Gold
Alts,Gold,0.025,0.0371,0.16,0.03,-0.1,0.09,0,0.15,0.17,0.16,0.13,0.11,0.1,0.04,0.27,0.04,0.26,0.03,0.26,0.03,0.25,0.11,0.25,0.11,0.24,0.24,0.32,0.23,0.26,0.05,0.05,0.1,0.1,0.18,0.15,0.13,0.14,0.15,0.16,0.17,0.24,0.27,0.08,0.21,0.11,0.08,0.04,0.24,0.05,0.09,0.11,0.2,0.19,0.27,0.17,0.18,0.21,0.25,0.16,0.21,0.29,0.39,0.44,0.43,1
