10/31/2016,3.46,0.25,-1.87,-2.11
11/30/2016,2.78,-0.30,-1.92,3.03
12/30/2016,2.55,0.83,-2.56,1.00
1/31/2017,-0.62,-0.12,0.42,-1.40
2/28/2017,0.17,0.16,-0.30,-1.10
3/31/2017,-0.97,-0.06,0.08,-0.19
4/30/2017,-0.84,1.00,-0.74,-0.43
5/31/2017,-3.06,0.51,0.13,-2.60
6/30/2017,1.06,-0.81,-1.50,1.80
7/31/2017,-0.03,-0.51,0.75,-0.31
8/31/2017,-2.55,0.02,3.15,-1.30
9/30/2017,1.04,0.39,-0.68,1.96
10/31/2017,-1.49,0.33,2.66,-2.05
11/30/2017,-0.17,0.63,-0.54,-0.31
12/31/2017,0.99,-0.02,-1.30,0.40
1/31/2018,-0.97,0.91,1.58,-2.63
2/28/2018,-1.85,0.04,0.26,-0.18
3/31/2018,-1.34,0.97,0.19,1.03
